"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US01223","ZCTA5 01223","2430",
"860Z200US01224","ZCTA5 01224","217",
"860Z200US01225","ZCTA5 01225","3258",
"860Z200US01226","ZCTA5 01226","6324",
"860Z200US01229","ZCTA5 01229","189",
"860Z200US01230","ZCTA5 01230","8907",
"860Z200US01235","ZCTA5 01235","2733",
"860Z200US01236","ZCTA5 01236","1513",
"860Z200US01237","ZCTA5 01237","2365",
"860Z200US01238","ZCTA5 01238","5722",
"860Z200US01240","ZCTA5 01240","4692",
"860Z200US01242","ZCTA5 01242","449",
"860Z200US01243","ZCTA5 01243","175",
"860Z200US01244","ZCTA5 01244","287",
"860Z200US01245","ZCTA5 01245","933",
"860Z200US01247","ZCTA5 01247","15147",
"860Z200US01253","ZCTA5 01253","808",
"860Z200US01254","ZCTA5 01254","946",
"860Z200US01255","ZCTA5 01255","959",
"860Z200US01256","ZCTA5 01256","645",
"860Z200US01257","ZCTA5 01257","2140",
"860Z200US01258","ZCTA5 01258","160",
"860Z200US01259","ZCTA5 01259","643",
"860Z200US01260","ZCTA5 01260","233",
"860Z200US01262","ZCTA5 01262","1758",
"860Z200US01264","ZCTA5 01264","219",
"860Z200US01266","ZCTA5 01266","1208",
"860Z200US01267","ZCTA5 01267","7876",
"860Z200US01270","ZCTA5 01270","755",
"860Z200US01301","ZCTA5 01301","18042",
"860Z200US01330","ZCTA5 01330","1500",
"860Z200US01331","ZCTA5 01331","13656",
"860Z200US01337","ZCTA5 01337","2562",
"860Z200US01338","ZCTA5 01338","127",
"860Z200US01339","ZCTA5 01339","1487",
"860Z200US01340","ZCTA5 01340","1803",
"860Z200US01341","ZCTA5 01341","1539",
"860Z200US01342","ZCTA5 01342","1538",
"860Z200US01343","ZCTA5 01343","165",
"860Z200US01344","ZCTA5 01344","1665",
"860Z200US01346","ZCTA5 01346","352",
"860Z200US01347","ZCTA5 01347","204",
"860Z200US01349","ZCTA5 01349","827",
"860Z200US01350","ZCTA5 01350","118",
"860Z200US01351","ZCTA5 01351","2293",
"860Z200US01354","ZCTA5 01354","1546",
"860Z200US01355","ZCTA5 01355","879",
"860Z200US01360","ZCTA5 01360","2871",
"860Z200US01364","ZCTA5 01364","7665",
"860Z200US01366","ZCTA5 01366","1187",
"860Z200US01367","ZCTA5 01367","506",
"860Z200US01368","ZCTA5 01368","1283",
"860Z200US01370","ZCTA5 01370","3932",
"860Z200US01373","ZCTA5 01373","4526",
"860Z200US01375","ZCTA5 01375","3639",
"860Z200US01376","ZCTA5 01376","5324",
"860Z200US01378","ZCTA5 01378","780",
"860Z200US01379","ZCTA5 01379","774",
"860Z200US01380","ZCTA5 01380","82",
"860Z200US01420","ZCTA5 01420","41940",
"860Z200US01430","ZCTA5 01430","6303",
"860Z200US01431","ZCTA5 01431","3193",
"860Z200US01432","ZCTA5 01432","8221",
"860Z200US01434","ZCTA5 01434","1652",
"860Z200US01436","ZCTA5 01436","3208",
"860Z200US01438","ZCTA5 01438","414",
"860Z200US01440","ZCTA5 01440","21577",
"860Z200US01450","ZCTA5 01450","11298",
"860Z200US01451","ZCTA5 01451","5461",
"860Z200US01452","ZCTA5 01452","4328",
"860Z200US01453","ZCTA5 01453","43752",
"860Z200US01460","ZCTA5 01460","10141",
"860Z200US01462","ZCTA5 01462","11818",
"860Z200US01463","ZCTA5 01463","11621",
"860Z200US01464","ZCTA5 01464","7427",
"860Z200US01468","ZCTA5 01468","4309",
"860Z200US01469","ZCTA5 01469","7055",
"860Z200US01473","ZCTA5 01473","8213",
"860Z200US01474","ZCTA5 01474","2072",
"860Z200US01475","ZCTA5 01475","10304",
"860Z200US01501","ZCTA5 01501","16731",
"860Z200US01503","ZCTA5 01503","3158",
"860Z200US01504","ZCTA5 01504","9208",
"860Z200US01505","ZCTA5 01505","4849",
"860Z200US01506","ZCTA5 01506","3439",
"860Z200US01507","ZCTA5 01507","13315",
"860Z200US01510","ZCTA5 01510","15428",
"860Z200US01515","ZCTA5 01515","2224",
"860Z200US01516","ZCTA5 01516","8962",
"860Z200US01518","ZCTA5 01518","3176",
"860Z200US01519","ZCTA5 01519","7254",
"860Z200US01520","ZCTA5 01520","16394",
"860Z200US01521","ZCTA5 01521","2603",
"860Z200US01522","ZCTA5 01522","3464",
"860Z200US01523","ZCTA5 01523","8377",
"860Z200US01524","ZCTA5 01524","6621",
"860Z200US01525","ZCTA5 01525","73",
"860Z200US01527","ZCTA5 01527","13799",
"860Z200US01529","ZCTA5 01529","3174",
"860Z200US01531","ZCTA5 01531","996",
"860Z200US01532","ZCTA5 01532","15741",
"860Z200US01534","ZCTA5 01534","6233",
"860Z200US01535","ZCTA5 01535","4735",
"860Z200US01536","ZCTA5 01536","7514",
"860Z200US01537","ZCTA5 01537","2141",
"860Z200US01540","ZCTA5 01540","11032",
"860Z200US01541","ZCTA5 01541","3495",
"860Z200US01542","ZCTA5 01542","2366",
"860Z200US01543","ZCTA5 01543","9049",
"860Z200US01545","ZCTA5 01545","38316",
"860Z200US01550","ZCTA5 01550","17740",
"860Z200US01560","ZCTA5 01560","4896",
"860Z200US01561","ZCTA5 01561","64",
"860Z200US01562","ZCTA5 01562","11992",
"860Z200US01564","ZCTA5 01564","7985",
"860Z200US01566","ZCTA5 01566","6691",
"860Z200US01568","ZCTA5 01568","7900",
"860Z200US01569","ZCTA5 01569","14193",
"860Z200US01570","ZCTA5 01570","17776",
"860Z200US01571","ZCTA5 01571","11921",
"860Z200US01581","ZCTA5 01581","21567",
"860Z200US01583","ZCTA5 01583","7652",
"860Z200US01585","ZCTA5 01585","4899",
"860Z200US01588","ZCTA5 01588","10106",
"860Z200US01590","ZCTA5 01590","9279",
"860Z200US01602","ZCTA5 01602","25382",
"860Z200US01603","ZCTA5 01603","22417",
"860Z200US01604","ZCTA5 01604","41301",
"860Z200US01605","ZCTA5 01605","29218",
"860Z200US01606","ZCTA5 01606","21651",
"860Z200US01607","ZCTA5 01607","9378",
"860Z200US01608","ZCTA5 01608","4996",
"860Z200US01609","ZCTA5 01609","23870",
"860Z200US01610","ZCTA5 01610","28717",
"860Z200US01611","ZCTA5 01611","2277",
"860Z200US01612","ZCTA5 01612","5051",
"860Z200US01701","ZCTA5 01701","33005",
"860Z200US01702","ZCTA5 01702","39515",
"860Z200US01718","ZCTA5 01718","688",
"860Z200US01719","ZCTA5 01719","5506",
"860Z200US01720","ZCTA5 01720","23232",
"860Z200US01721","ZCTA5 01721","18832",
"860Z200US01730","ZCTA5 01730","14566",
"860Z200US01731","ZCTA5 01731","1555",
"860Z200US01740","ZCTA5 01740","5665",
"860Z200US01741","ZCTA5 01741","5237",
"860Z200US01742","ZCTA5 01742","18545",
"860Z200US01745","ZCTA5 01745","433",
"860Z200US01746","ZCTA5 01746","14996",
"860Z200US01747","ZCTA5 01747","6017",
"860Z200US01748","ZCTA5 01748","18758",
"860Z200US01749","ZCTA5 01749","20092",
"860Z200US01752","ZCTA5 01752","41793",
"860Z200US01754","ZCTA5 01754","10730",
"860Z200US01756","ZCTA5 01756","6228",
"860Z200US01757","ZCTA5 01757","30479",
"860Z200US01760","ZCTA5 01760","36659",
"860Z200US01770","ZCTA5 01770","4401",
"860Z200US01772","ZCTA5 01772","10017",
"860Z200US01773","ZCTA5 01773","5651",
"860Z200US01775","ZCTA5 01775","7190",
"860Z200US01776","ZCTA5 01776","18934",
"860Z200US01778","ZCTA5 01778","14132",
"860Z200US01801","ZCTA5 01801","40891",
"860Z200US01803","ZCTA5 01803","26074",
"860Z200US01810","ZCTA5 01810","35621",
"860Z200US01821","ZCTA5 01821","30909",
"860Z200US01824","ZCTA5 01824","26881",
"860Z200US01826","ZCTA5 01826","32689",
"860Z200US01827","ZCTA5 01827","3358",
"860Z200US01830","ZCTA5 01830","27553",
"860Z200US01832","ZCTA5 01832","25656",
"860Z200US01833","ZCTA5 01833","8410",
"860Z200US01834","ZCTA5 01834","6752",
"860Z200US01835","ZCTA5 01835","14578",
"860Z200US01840","ZCTA5 01840","7121",
"860Z200US01841","ZCTA5 01841","53654",
"860Z200US01843","ZCTA5 01843","28346",
"860Z200US01844","ZCTA5 01844","52970",
"860Z200US01845","ZCTA5 01845","31855",
"860Z200US01850","ZCTA5 01850","16670",
"860Z200US01851","ZCTA5 01851","32691",
"860Z200US01852","ZCTA5 01852","36708",
"860Z200US01854","ZCTA5 01854","29561",
"860Z200US01860","ZCTA5 01860","6723",
